task,task_type,trial,rotation_angle_deg,12,14,28,16,18,6,22,27,4,24,20,10
practice_reaches,cursor,1,0,3.44,nan,6.72,-0.85,-0.63,-1.22,-6.91,-25.76,-2.39,3.42,10.46,nan
practice_reaches,cursor,2,0,-1.11,0,12.99,8.52,8.01,-0.82,3.58,1.88,0.89,-2.32,-4.59,5.79
practice_reaches,cursor,3,0,10.17,18.04,2.73,4.64,4.05,-5.45,-6.43,-0.56,2.32,-5.11,-4.13,16.76
practice_reaches,cursor,4,0,-1.08,13.09,2.42,-2.14,10.72,0.2,1.7,-3.29,7.29,-2.6,-3.01,8.77
practice_reaches,cursor,5,0,8.71,7.52,0.55,4.31,30.96,-4.1,-3.24,-1.07,11.88,-5.25,-5.4,7.41
practice_reaches,cursor,6,0,5.3,1.48,0,1.92,1.27,-0.8,3.05,5.91,-7.32,0,4.07,5.08
practice_reaches,cursor,7,0,2.09,10.71,-1.67,-5.88,4.63,-1.38,0.81,-1.49,11.9,-5.89,1.16,1.45
practice_reaches,cursor,8,0,8.87,8.86,6.78,-0.21,15.08,4.4,4.24,-4.49,5.58,-2.05,-2.45,-6.16
practice_reaches,cursor,9,0,-3.34,4.07,0.18,1.18,0.6,1.56,1.88,4.54,4.73,0.83,5.05,10.73
practice_no-cursor,no_cursor,1,0,-3.18,2.58,1.74,8.24,-10.26,4.68,-5.3,0.69,2.22,1.51,-2.98,1.75
practice_no-cursor,no_cursor,2,0,3,0.87,7.05,3.61,8.44,1.59,-3.37,7.06,7.15,-4.01,4.9,-5.06
practice_no-cursor,no_cursor,3,0,7.47,2.71,0,-1.97,2.5,15.59,-13.31,2.68,3.49,-1.85,-5.31,-3.95
practice_no-cursor,no_cursor,4,0,8.43,8.39,0.28,15.4,nan,11.2,1.03,-1.42,3.9,-3.63,11.31,2.47
practice_no-cursor,no_cursor,5,0,8.71,6.12,3.25,7.78,1.56,-6.65,-7.88,-2.44,5.88,-9.06,7.13,-4.61
practice_no-cursor,no_cursor,6,0,-6.09,-17.07,5.62,0.22,8.29,9.34,7.81,7.05,12.69,3.14,5.96,-3.06
aligned_training_1,cursor,1,0,0.9,2.99,-7.13,2.65,-5.89,-4.72,-4.56,0.6,4.64,-0.21,4.33,5.63
aligned_training_1,cursor,2,0,-0.95,-1.98,5.49,-5.26,8.53,-0.97,7.05,4.8,-2.27,-0.61,0.63,-1.39
aligned_training_1,cursor,3,0,3.65,10.43,-0.84,4.24,-3.46,11.39,0,1.95,6.14,-3.81,-5.17,-10.58
aligned_training_1,cursor,4,0,3.6,2.68,-2.81,-2.92,-1.69,1.06,2.19,-1.11,10.47,4.4,1.52,10.93
aligned_training_1,cursor,5,0,1.79,1.68,-2.51,2.85,4.24,-5.86,3.51,2.78,5.51,-0.3,0.86,-24.19
aligned_training_1,cursor,6,0,1.54,9.98,0.3,5.47,7.17,1.08,3.9,-2.6,8.99,2.97,1.96,16.99
aligned_training_1,cursor,7,0,0.81,7.22,-2.31,-0.36,2.56,2.88,7.8,-1.49,7.63,7.25,-1.39,5.91
aligned_training_1,cursor,8,0,4.1,12.88,-2.62,4.25,7.45,5.37,-7.16,1.55,11.16,-5.22,4.01,-14.52
