"","baselineMedians","exclude15Medians","exclude30Medians","exclude45Medians","exclude60Medians","include15Medians","include30Medians","include45Medians","include60Medians"
"X15",0,2.48,12.545,17.525,18.705,4.25,10.57,16.38,42.4
"X21",0,7.365,17.81,21.51,25.465,10.13,15.28,20.875,27.69
"X23",0,13.92,20.125,15.43,22.36,-1.565,10.36,16.945,28.785
"X17",0,9.06,20.24,25.8,32.705,7.585,18.57,22.25,30.96
"X13",0,9.125,17.11,22.865,21.775,21.97,32.82,45.92,59.225
"X19",0,10.38,23.19,29.715,38.855,11.685,18.155,28.95,38.065
"X31",0,9.01,11.81,14.86,22.95,7.17,16.105,24.105,34.04
"X29",0,6.955,11.77,19.365,18.96,-0.56,3.48,4.73,17.355
"X27",0,8.12,6.6,15.475,11.255,6.74,10.195,13.295,18.495
"X35",0,7.98,12.46,22.97,28.575,8.915,14.605,22.445,30.1
"X11",0,8.385,17.86,20.88,23.54,9.385,12.69,22.555,22.52
"X05",0,5.76,11.275,17.4,21.24,5.68,12.455,15.94,19.51
"X9",0,2.725,5.09,11.355,10.115,14.235,19.11,28.04,43.94
"X25",0,4.695,9.355,13.56,19.82,2.19,8.385,15.865,16.84
"X7",0,5.675,8.16,18.46,23.52,5.125,10.75,17.135,19.79
"p01",0,3.425,12.42,19.345,20.895,5.195,13.79,15.265,21.915
"X34",0,11.965,18.03,25.915,24.225,11.305,16.565,24.885,30.035
"X30",0,7.65,15.5,17.42,22.945,7.63,16.745,21.52,22.81
"X28",0,7.97,15.685,16.055,17.73,7.47,17.865,30.975,32.28
"X16",0,4.93,17.5,39.225,45.735,4.65,19.08,38.81,39.87
"X18",0,6.16,11.815,18.935,27.47,4.125,12.005,21.89,21.845
"X36",0,10.56,15.57,20.965,30.035,7.645,13.71,21.6,29.59
"X22",0,8.71,14.62,19.4,24.455,8.53,18.675,42.305,51.395
"X2",0,9.35,18.66,25.135,29.535,6.365,15.325,23.16,38.125
"X4",0,1.37,7.92,16.65,19.45,5.14,2.655,21.95,21.105
"X24",0,8.32,15.985,22.55,33.285,8.26,18.915,28.445,35.63
"X20",0,9.855,13.225,18.425,24.73,9.25,13.46,16.48,23.58
"X32",0,2.31,10.195,22.15,26.165,6.5,13.835,22.375,31.555
"X10",0,8.32,11.27,12.065,17.3,7.585,14.555,38.48,54.21
"X8",0,7.965,13.675,18.05,9.6,16.245,12.68,29.625,50.9
"X26",0,7.14,11.8,19.585,18.55,10.65,13.81,27.15,33.82
