"","baselineMedians","exclude15Medians","exclude30Medians","exclude45Medians","exclude60Medians","include15Medians","include30Medians","include45Medians","include60Medians"
"task_type",NA,NA,NA,NA,NA,NA,NA,NA,NA
"X15"," 4.965"," 7.445","17.510","22.490","23.670"," 9.215","15.535","21.345","51.050"
"X21"," 0.585"," 7.950","18.395","22.095","26.050","10.715","15.865","21.460","29.470"
"X23","10.465","24.385","30.590","25.895","32.825"," 8.900","20.825","27.410","39.250"
"X17"," 4.750","13.810","24.990","30.550","37.810","12.335","23.320","27.000","37.175"
"X13"," 2.230","11.355","19.340","25.095","24.005","24.200","35.050","52.720","71.690"
"X19","-2.615"," 7.765","20.575","27.100","36.240"," 9.070","15.540","26.335","35.970"
"X37"," 1.825","11.245",NA,"16.930",NA,"11.940","17.530","22.755","29.825"
"X31"," 3.405","12.415","15.215","18.265","26.355","10.575","19.510","27.510","37.445"
"X29","-0.915"," 6.040","10.855","18.450","18.045","-1.475"," 2.565"," 3.815","16.440"
"X27"," 2.015","11.570"," 8.615","17.490","16.230"," 8.755","12.210","15.310","20.510"
"X35"," 0.570"," 8.550","13.030","23.540","32.495"," 9.485","15.175","23.015","32.065"
"X11","-1.950"," 6.435","15.910","18.930","21.590"," 7.435","10.740","20.605","20.570"
"X5"," 4.135"," 9.895","15.410","21.535","26.890"," 9.815","16.590","20.075","25.015"
"X9","-0.500"," 2.225"," 4.590","10.855"," 9.615","13.735","18.610","27.540","46.660"
"X25","10.085","14.780","19.440","25.620","29.905","12.275","18.470","28.000",NA
"X7"," 3.765"," 9.440","11.925","22.450","27.285"," 8.890","14.515","20.900","23.555"
"p01"," 3.105"," 6.530","15.525","22.450","24.000"," 8.300","16.895","18.370","25.020"
"X34"," 1.100","13.065","19.130","27.015","26.750","12.405","17.665","25.985","31.135"
"X30","-0.490"," 7.160","15.010","16.930","22.455"," 7.140","16.255","21.030","22.320"
"X28"," 1.080"," 9.050","16.765","17.135","18.810",NA,"18.945","32.055","33.360"
"X16"," 4.460"," 9.390","21.960","44.465","52.495"," 9.110","23.540","44.145","51.535"
"X18"," 2.815"," 8.975","14.630","21.750","30.285"," 6.940","14.820","24.705","24.660"
"X36"," 1.730","12.290","17.300","22.695","31.765"," 9.375","15.440","23.330","33.695"
"X22","-5.840"," 2.870"," 8.780","13.560","18.615"," 2.690","12.835","36.465","50.305"
"X38"," 4.155","11.225","16.695","24.390","29.340","11.495","19.510","21.420","28.190"
"X2"," 0.115"," 9.465","18.775","25.250","29.650"," 6.480","15.440","23.275","39.580"
"X4","-1.860","-0.490"," 6.060","14.790","17.590"," 3.280"," 0.795","20.090","19.245"
"X24"," 3.825","12.145","19.810","26.375","38.450","12.085","22.740","32.770","43.530"
"X20"," 6.230","16.085","19.455","24.655","32.695","20.830","21.965","31.995","32.615"
"X32"," 1.060"," 3.370","11.255","23.210","27.225"," 7.560","14.895","23.435","32.615"
"X10","-1.220"," 7.100","10.050","10.845","16.080"," 6.365","13.335","52.810","56.270"
"X8","-6.060"," 1.905"," 7.615","11.990"," 3.540","12.370"," 6.620","23.565","48.915"
"X26","-0.895"," 6.245","10.905","18.690",NA," 9.755","12.915","26.510","42.065"
