task_num,trial_num,rotation_angle,targetangle_deg,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px,ppt,stratuse,exp,angular_dev
24,1,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-6.109,3.0545,-6.109,3.0545,1_abruptExp,0,abruptExp,-21.0378977788467
24,2,-60,45,0,-10.691,21.599,21.599,1.5501e+12,8.6181,9.4908,8.6181,9.4908,1_abruptExp,0,abruptExp,21.8763859253755
24,3,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.8,7.909,-1.8,7.909,1_abruptExp,0,abruptExp,5.52754015165618
24,4,-60,45,0,-10.691,21.599,21.599,1.5501e+12,6.109,6,6.109,6,1_abruptExp,0,abruptExp,24.8970896558725
24,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.2,4.2545,-1.2,4.2545,1_abruptExp,0,abruptExp,4.59052928381341
24,6,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-18.982,9.2727,-18.982,9.2727,1_abruptExp,0,abruptExp,-1.44394267798228
24,7,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-6.709,2.6727,-6.709,2.6727,1_abruptExp,0,abruptExp,-18.3419017815977
24,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.8,7.6908,-1.8,7.6908,1_abruptExp,0,abruptExp,5.59274089382073
24,9,-60,45,0,-10.691,21.599,21.599,1.5501e+12,5.7818,6,5.7818,6,1_abruptExp,0,abruptExp,25.8937992403149
16,1,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-2.8909,24.382,-2.8909,24.382,1_abruptExp,0,abruptExp,4.71196601480108
16,2,-60,45,0,-10.691,21.599,21.599,1.5501e+12,9.6545,12.491,9.6545,12.491,1_abruptExp,0,abruptExp,22.3899635088023
16,3,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-17.945,13.527,-17.945,13.527,1_abruptExp,0,abruptExp,-8.46237590422594
16,4,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-5.6182,4.3091,-5.6182,4.3091,1_abruptExp,0,abruptExp,-24.4668554403282
16,5,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-3.8182,26.945,-3.8182,26.945,1_abruptExp,0,abruptExp,5.79287948139292
16,6,-60,45,0,-10.691,21.599,21.599,1.5501e+12,6.2182,6.7636,6.2182,6.7636,1_abruptExp,0,abruptExp,25.3915623692043
16,7,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-5.7273,2.4545,-5.7273,2.4545,1_abruptExp,0,abruptExp,-21.4579549931782
16,8,-60,45,0,-10.691,21.599,21.599,1.5501e+12,6.2182,8.5636,6.2182,8.5636,1_abruptExp,0,abruptExp,27.1023344761602
16,9,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-3.3273,20.782,-3.3273,20.782,1_abruptExp,0,abruptExp,6.03484698135696
22,2,-60,45,0,-10.691,21.599,21.599,1.5501e+12,3.2727,4.3091,3.2727,4.3091,1_abruptExp,1,abruptExp,32.6921631743115
22,3,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-4.0909,0.32727,-4.0909,0.32727,1_abruptExp,1,abruptExp,-24.6308778716726
22,4,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-15.273,8.0727,-15.273,8.0727,1_abruptExp,1,abruptExp,-5.85560780616888
22,7,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-9.3817,3.2182,-9.3817,3.2182,1_abruptExp,1,abruptExp,-11.0004922404013
22,8,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.5818,10.854,-1.5818,10.854,1_abruptExp,1,abruptExp,4.19903216139561
22,9,-60,45,0,-10.691,21.599,21.599,1.5501e+12,8.8363,9.2181,8.8363,9.2181,1_abruptExp,1,abruptExp,21.0668096383464
18,1,-60,45,0,-10.691,21.599,21.599,1.5501e+12,7.6908,5.5636,7.6908,5.5636,1_abruptExp,1,abruptExp,19.6790123719678
18,2,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-3.6545,12.873,-3.6545,12.873,1_abruptExp,1,abruptExp,8.81567177632819
18,3,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-4.5818,-1.3636,-4.5818,-1.3636,1_abruptExp,1,abruptExp,-18.8388329211252
18,4,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.2,10.364,-1.2,10.364,1_abruptExp,1,abruptExp,3.26196320712509
18,5,-60,45,0,-10.691,21.599,21.599,1.5501e+12,6.3818,4.9091,6.3818,4.9091,1_abruptExp,1,abruptExp,22.7511622573514
18,6,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-6.5454,0.16364,-6.5454,0.16364,1_abruptExp,1,abruptExp,-13.9098213814344
18,7,-60,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,1.3636,8.5636,1.3636,8.5636,1_abruptExp,1,abruptExp,-4.05089181303106
18,8,-60,135,0,-10.691,-21.599,21.599,1.5501e+12,-12.273,3.8182,-12.273,3.8182,1_abruptExp,1,abruptExp,-4.77288344227455
18,9,-60,45,0,-10.691,21.599,21.599,1.5501e+12,5.2909,3.3272,5.2909,3.3272,1_abruptExp,1,abruptExp,24.3219503022392
7,1,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-9.2182,6.2182,-9.2182,6.2182,1_abruptExp,0,abruptExp,-16.4025993145787
7,2,0,45,0,-10.691,21.599,21.599,1.5501e+12,7.9636,6.7636,7.9636,6.7636,1_abruptExp,0,abruptExp,20.4753235293996
7,3,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,-1.0364,8.2364,-1.0364,8.2364,1_abruptExp,0,abruptExp,3.1341919665258
7,4,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-11.836,8.0727,-11.836,8.0727,1_abruptExp,0,abruptExp,-12.7565811051739
7,5,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,0.21818,10.036,0.21818,10.036,1_abruptExp,0,abruptExp,-0.603094103854403
7,6,0,45,0,-10.691,21.599,21.599,1.5501e+12,7.4182,6.0545,7.4182,6.0545,1_abruptExp,0,abruptExp,21.1068190062597
7,7,0,45,0,-10.691,21.599,21.599,1.5501e+12,4.7455,5.4,4.7455,5.4,1_abruptExp,0,abruptExp,28.5683466506573
7,8,0,90,0,-10.691,1.8704e-15,30.545,1.5501e+12,0.54545,10.036,0.54545,10.036,1_abruptExp,0,abruptExp,-1.50744302823131
7,9,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.5818,7.4727,-7.5818,7.4727,1_abruptExp,0,abruptExp,-22.3436133174888
11,1,0,135,0,-10.691,-21.599,21.599,1.5501e+12,-7.0364,8.0727,-7.0364,8.0727,1_abruptExp,0,abruptExp,-24.4439213169303
11,2,0,45,0,-10.691,21.599,21.599,1.5501e+12,8.6182,8.6727,8.6182,8.6727,1_abruptExp,0,abruptExp,21.0075931519893
