"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
"665"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378697.91	-2	-4	-2	-4
"666"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378697.94	-1	-4	-1	-4
"667"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378697.98	1	-5	1	-5
"668"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.01	1	-5	1	-5
"669"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.04	1	-5	1	-5
"670"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.08	1	-5	1	-5
"671"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.11	1	-5	1	-5
"672"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.14	1	-5	1	-5
"673"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.18	0	-5	0	-5
"674"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.21	0	-5	0	-5
"675"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.24	0	-5	0	-5
"676"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.28	0	-3	0	-3
"677"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.31	-3	10	-3	10
"678"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.34	-13	27	-13	27
"679"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.38	-32	50	-32	50
"680"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.41	-56	89	-56	89
"681"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.44	-82	128	-82	128
"682"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.48	-103	147	-103	147
"683"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.51	-128	163	-128	163
"684"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.54	-150	175	-150	175
"685"	3	1	1	1	0	0	135	100	0	-196	-395.979797464	395.979797464	1551378698.58	-177	194	-177	194
