"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
"9953"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.54	7	4	7	4
"9954"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.57	7	3	7	3
"9955"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.6	7	1	7	1
"9956"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.64	6	1	6	1
"9957"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.67	6	1	6	1
"9958"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.7	6	1	6	1
"9959"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.74	6	1	6	1
"9960"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.77	6	1	6	1
"9961"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.8	6	1	6	1
"9962"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.84	6	1	6	1
"9963"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.87	6	1	6	1
"9964"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.9	6	1	6	1
"9965"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.94	6	1	6	1
"9966"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090737.97	6	1	6	1
"9967"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738	6	1	6	1
"9968"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.04	6	1	6	1
"9969"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.07	6	1	6	1
"9970"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.1	6	1	6	1
"9971"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.14	7	1	7	1
"9972"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.17	7	1	7	1
"9973"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.2	6	6	6	6
"9974"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.24	6	15	6	15
"9975"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.27	5	23	5	23
"9976"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.3	5	34	5	34
"9977"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.34	5	49	5	49
"9978"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.37	4	68	4	68
"9979"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.4	3	89	3	89
"9980"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.44	-1	108	-1	108
"9981"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.47	-5	130	-5	130
"9982"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.5	-9	152	-9	152
"9983"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.54	-14	174	-14	174
"9984"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.57	-17	192	-17	192
"9985"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.6	-20	214	-20	214
"9986"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.64	-21	235	-21	235
"9987"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.67	-22	261	-22	261
"9988"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.7	-22	287	-22	287
"9989"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.74	-21	314	-21	314
"9990"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.77	-22	345	-22	345
"9991"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.8	-23	367	-23	367
"9992"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.84	-22	397	-22	397
"9993"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.87	-21	427	-21	427
"9994"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.9	-21	451	-21	451
"9995"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.94	-23	474	-23	474
"9996"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090738.97	-25	490	-25	490
"9997"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739	-27	504	-27	504
"9998"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.04	-29	519	-29	519
"9999"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.07	-31	529	-31	529
"10000"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.1	-33	537	-33	537
"10001"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.14	-34	543	-34	543
"10002"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.17	-36	548	-36	548
"10003"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.2	-36	551	-36	551
"10004"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.24	-37	554	-37	554
"10005"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.27	-37	555	-37	555
"10006"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.3	-37	555	-37	555
"10007"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.34	-37	555	-37	555
"10008"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.37	-37	555	-37	555
"10009"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.4	-37	555	-37	555
"10010"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.44	-37	555	-37	555
"10011"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.47	-37	555	-37	555
"10012"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.5	-37	555	-37	555
"10013"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.54	-37	555	-37	555
"10014"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.57	-36	556	-36	556
"10015"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.6	-36	556	-36	556
"10016"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.64	-35	557	-35	557
"10017"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.67	-35	557	-35	557
"10018"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.7	-35	558	-35	558
"10019"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.74	-34	558	-34	558
"10020"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.77	-33	559	-33	559
"10021"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.8	-33	560	-33	560
"10022"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.84	-33	560	-33	560
"10023"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.87	-33	560	-33	560
"10024"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.9	-33	560	-33	560
"10025"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.94	-33	560	-33	560
"10026"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090739.97	-32	560	-32	560
"10027"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740	-32	562	-32	562
"10028"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.04	-31	565	-31	565
"10029"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.07	-30	566	-30	566
"10030"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.1	-30	566	-30	566
"10031"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.14	-30	567	-30	567
"10032"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.17	-30	568	-30	568
"10033"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.2	-30	568	-30	568
"10034"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.24	-30	568	-30	568
"10035"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.27	-30	568	-30	568
"10036"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.3	-29	570	-29	570
"10037"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.34	-27	576	-27	576
"10038"	16	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550090740.37	-25	583	-25	583
