"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
"1582"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.5	-11	-3	-11	-3
"1583"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.53	-11	-3	-11	-3
"1584"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.57	-11	-3	-11	-3
"1585"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.6	-11	-3	-11	-3
"1586"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.63	-11	-3	-11	-3
"1587"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.67	-11	-3	-11	-3
"1588"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.7	-11	-3	-11	-3
"1589"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.73	-11	-4	-11	-4
"1590"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.77	-11	-4	-11	-4
"1591"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.8	-11	-4	-11	-4
"1592"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.83	-11	-3	-11	-3
"1593"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.87	-11	-3	-11	-3
"1594"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.9	-10	-2	-10	-2
"1595"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.93	-8	0	-8	0
"1596"	5	1	1	1	0	0	45	100	0	0	395.979797464	395.979797464	1552403305.97	-6	3	-6	3
