"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
"17005"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.09	5	5	5	5
"17006"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.12	5	5	5	5
"17007"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.15	4	4	4	4
"17008"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.19	3	3	3	3
"17009"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.22	3	2	3	2
"17010"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.25	3	2	3	2
"17011"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.29	1	1	1	1
"17012"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.32	1	1	1	1
"17013"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.35	-1	1	-1	1
"17014"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.39	-2	1	-2	1
"17015"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.42	-3	1	-3	1
"17016"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.45	-3	0	-3	0
"17017"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.49	-4	0	-4	0
"17018"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.52	-4	-1	-4	-1
"17019"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.55	-5	-2	-5	-2
"17020"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.59	-5	-3	-5	-3
"17021"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.62	-6	-4	-6	-4
"17022"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.65	-6	-4	-6	-4
"17023"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.69	-6	-5	-6	-5
"17024"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.72	-6	-5	-6	-5
"17025"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.75	-6	-6	-6	-6
"17026"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.79	-6	-7	-6	-7
"17027"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.82	-6	-8	-6	-8
"17028"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.85	-6	-8	-6	-8
"17029"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.89	-6	-8	-6	-8
"17030"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.92	-6	-8	-6	-8
"17031"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.95	-6	-8	-6	-8
"17032"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859763.99	-6	-8	-6	-8
"17033"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.02	-6	-8	-6	-8
"17034"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.05	-6	-8	-6	-8
"17035"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.09	-7	-8	-7	-8
"17036"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.12	-7	-6	-7	-6
"17037"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.15	-8	-3	-8	-3
"17038"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.19	-9	0	-9	0
"17039"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.22	-8	5	-8	5
"17040"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.25	-8	11	-8	11
"17041"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.29	-9	18	-9	18
"17042"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.32	-11	25	-11	25
"17043"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.35	-13	34	-13	34
"17044"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.39	-14	41	-14	41
"17045"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.42	-13	55	-13	55
"17046"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.45	-9	79	-9	79
"17047"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.49	-8	104	-8	104
"17048"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.52	-10	126	-10	126
"17049"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.55	-15	142	-15	142
"17050"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.59	-21	161	-21	161
"17051"	18	1	1	1	0	0	90	100	0	-196	3.42901103761e-14	560	1550859764.62	-28	178	-28	178
