"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
"1"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.12	4	2	4	2
"2"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.16	4	3	4	3
"3"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.19	4	3	4	3
"4"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.22	4	3	4	3
"5"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.26	3	3	3	3
"6"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.29	3	3	3	3
"7"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.32	3	3	3	3
"8"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.36	3	3	3	3
"9"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.39	3	3	3	3
"10"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.42	3	3	3	3
"11"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.46	3	3	3	3
"12"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.49	3	3	3	3
"13"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.52	3	3	3	3
"14"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.56	3	3	3	3
"15"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.59	3	3	3	3
"16"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.62	3	3	3	3
"17"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.66	3	3	3	3
"18"	1	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1550858405.69	3	3	3	3
