"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.60239005089	-7	-6	-8.69615242271	3.06217782649
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.63585186005	-7	-6	-8.69615242271	3.06217782649
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.66931986809	-7	-6	-8.69615242271	3.06217782649
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.70265388489	-7	-6	-8.69615242271	3.06217782649
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.73586201668	-6	-5	-7.33012701892	2.69615242271
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.76921701431	-6	-4	-6.46410161514	3.19615242271
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.80256295204	-5	0	-2.5	4.33012701892
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.83590006828	-5	1	-1.63397459622	4.83012701892
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.86921286583	-5	1	-1.63397459622	4.83012701892
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.90255594254	-5	1	-1.63397459622	4.83012701892
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.93597197533	-5	1	-1.63397459622	4.83012701892
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	1.96935391426	-7	2	-1.76794919243	7.06217782649
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.00270700455	-16	10	0.660254037844	18.8564064606
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.03608894348	-28	22	5.05255888326	35.248711306
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.06943893433	-41	41	15.0070415552	56.0070415552
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.10278487206	-52	66	31.1576766498	78.0333209968
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.13616490364	-64	97	52.0044641671	103.925625842
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.16949796677	-77	128	72.3512516844	130.683956091
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.20286989212	-96	166	95.7602170282	166.138438763
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.23625302315	-110	211	127.731360199	200.762794416
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.26959085464	-121	252	157.738401754	230.789073858
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.30295586586	-138	302	192.539671943	270.511505722
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.33630800247	-149	338	218.216586479	298.037785164
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.36966300011	-159	379	248.723628034	327.198039202
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.40304303169	-167	417	277.632593378	353.126242432
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.43637299538	-173	449	302.345406299	374.322394855
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.4697508812	-178	485	331.022320835	396.652521874
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.50310587883	-179	516	357.369108353	413.018547277
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.53645086288	-178	552	389.046022889	430.152521874
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.5698158741	-177	586	418.990886618	446.28649647
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.60319590569	-175	619	448.569724943	461.054445662
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.63653588295	-173	647	473.818436249	473.322394855
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.67012000084	-174	667	490.638944324	484.188420258
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.70348191261	-174	688	508.825477804	494.688420258
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.73660206795	-173	701	520.583808053	500.322394855
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.76996994019	-173	715	532.708163706	507.322394855
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.80331993103	-173	726	542.234443148	512.822394855
52	1	1	1	0	-60	90	100	0	0	3.42901103761e-14	560	2.83667588234	-174	736	550.394697185	518.688420258
