"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.66679000854	-7	9	-7	9
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.7001080513	-8	9	-8	9
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.73351502419	-7	9	-7	9
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.76684713364	-7	9	-7	9
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.80043005943	-6	6	-6	6
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.83377313614	-3	2	-3	2
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.86695790291	0	-4	0	-4
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.90029096603	1	-4	1	-4
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.933604002	1	-4	1	-4
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	1.96700811386	1	-4	1	-4
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.00035691261	-4	-3	-4	-3
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.03381204605	-13	1	-13	1
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.06733608246	-21	5	-21	5
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.10051107407	-28	10	-28	10
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.13384199142	-38	16	-38	16
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.16715908051	-48	24	-48	24
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.20053601265	-61	33	-61	33
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.23390293121	-74	44	-74	44
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.26747202873	-85	54	-85	54
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.30086112022	-100	70	-100	70
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.3339509964	-112	83	-112	83
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.36730504036	-125	99	-125	99
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.40069103241	-136	112	-136	112
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.43404102325	-150	127	-150	127
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.46739912033	-164	141	-164	141
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.50075507164	-175	153	-175	153
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.53411793709	-188	166	-188	166
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.56747293472	-201	178	-201	178
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.60084104538	-214	191	-214	191
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.63419508934	-226	204	-226	204
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.66755008698	-237	216	-237	216
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.70093107224	-249	230	-249	230
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.73426198959	-260	242	-260	242
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.76767206192	-272	257	-272	257
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.80099201202	-284	271	-284	271
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.83433699608	-294	283	-294	283
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.86778402328	-308	299	-308	299
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.90105295181	-319	311	-319	311
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.93442606926	-331	326	-331	326
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	2.96779298782	-344	341	-344	341
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.00115203857	-354	354	-354	354
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.03450512886	-366	371	-366	371
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.0678589344	-376	384	-376	384
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.10121011734	-390	398	-390	398
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.13458108902	-402	412	-402	412
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.16799998283	-414	424	-414	424
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.20130610466	-426	435	-426	435
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.2346971035	-437	443	-437	443
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.2682299614	-449	453	-449	453
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.30160403252	-458	460	-458	460
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.33477210999	-468	467	-468	467
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.36808300018	-476	473	-476	473
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.40146613121	-482	477	-482	477
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.43484902382	-488	481	-488	481
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.46816205978	-491	483	-491	483
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.50156593323	-493	484	-493	484
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.53490900993	-494	486	-494	486
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.56823992729	-496	487	-496	487
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.60162091255	-498	489	-498	489
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.63495802879	-500	490	-500	490
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.66831493378	-502	490	-502	490
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.70169711113	-505	492	-505	492
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.73505711555	-506	492	-506	492
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.76840496063	-507	493	-507	493
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.80178403854	-508	494	-508	494
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.8353331089	-509	495	-509	495
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.86870002747	-509	495	-509	495
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.90181207657	-509	495	-509	495
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.93517613411	-509	495	-509	495
7	1	1	1	0	0	135	100	0	0	-395.979797464	395.979797464	3.96861505508	-509	495	-509	495
