"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.4904229641	12	7	13.4350288425	-3.53553390593
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.52383303642	12	7	13.4350288425	-3.53553390593
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.55716109276	12	7	13.4350288425	-3.53553390593
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.59051990509	12	7	13.4350288425	-3.53553390593
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.62383008003	12	7	13.4350288425	-3.53553390593
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.65727210045	10	7	12.0208152802	-2.12132034356
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.69064593315	7	6	9.19238815543	-0.707106781187
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.72392511368	7	5	8.48528137424	-1.41421356237
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.75724411011	7	5	8.48528137424	-1.41421356237
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.79069209099	7	5	8.48528137424	-1.41421356237
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.82406306267	7	5	8.48528137424	-1.41421356237
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.85743999481	6	7	9.19238815543	0.707106781187
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.89070606232	2	12	9.89949493661	7.07106781187
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.92415809631	-3	26	16.2634559673	20.5060966544
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.95746898651	-5	57	36.7695526217	43.8406204336
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	1.99083590508	-8	86	55.1543289326	66.4680374315
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.02420091629	-17	130	79.9030662741	103.944696834
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.05753612518	-30	167	96.8736290226	139.300035894
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.09091496468	-41	217	124.450793489	182.433549546
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.12429594994	-51	260	147.785317268	219.910208949
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.1577000618	-70	303	164.755880016	263.750829383
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.19101595879	-87	346	183.140656327	306.177236254
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.22441196442	-104	378	193.747258045	340.825468532
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.25771808624	-127	408	198.697005513	378.302127935
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.29102993011	-148	433	201.525432638	410.829039869
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.32449412346	-171	450	197.282791951	439.113311117
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.35779094696	-188	459	191.625937702	457.498087428
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.39120411873	-204	465	184.55486989	473.054436614
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.42461895943	-222	468	173.948268172	487.903679019
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.45789813995	-234	469	166.170093579	497.096067174
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.49131298065	-248	470	156.977705423	507.702668892
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.52473211288	-261	469	147.078210487	516.187950266
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.55806899071	-273	468	137.885822331	523.966124859
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.59137010574	-289	467	125.865007051	534.572726577
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.62473011017	-303	466	115.258405333	543.765114732
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.65791797638	-318	465	103.944696834	553.664609669
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.69128608704	-331	464	94.0452018978	562.149891043
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.72487807274	-349	461	79.1959594929	572.756492761
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.75818800926	-367	457	63.6396103068	582.655987698
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.79159808159	-381	453	50.9116882454	589.72705551
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.82494497299	-396	448	36.7695526217	596.798123321
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.85816693306	-407	444	26.1629509039	601.74787079
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.89143896103	-412	442	21.2132034356	603.869191133
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.92498993874	-413	440	19.091883092	603.162084352
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.95828700066	-412	436	16.9705627485	599.626550446
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	2.99173998833	-407	431	16.9705627485	592.555482634
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.02505707741	-402	427	17.6776695297	586.191521604
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.05857896805	-397	422	17.6776695297	579.120453792
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.09164905548	-394	418	16.9705627485	574.170706323
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.12506008148	-394	411	12.0208152802	569.220958855
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.15863204002	-393	405	8.48528137424	564.271211387
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.19190502167	-394	400	4.24264068712	561.442784262
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.22521996498	-394	395	0.707106781187	557.907250356
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.25866603851	-395	392	-2.12132034356	556.493036794
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.29195213318	-396	391	-3.53553390593	556.493036794
38	1	1	1	0	-45	90	100	0	0	3.42901103761e-14	560	3.32535409927	-397	390	-4.94974746831	556.493036794
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.00185418128967	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.0219700336456	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.0555150508881	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.0885150432587	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.122296094894	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.155146121979	5	-6	-0.707106781187	-7.77817459305
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.18891620636	5	-5	0	-7.07106781187
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.222410202026	4	-2	1.41421356237	-4.24264068712
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.255751132965	3	1	2.82842712475	-1.41421356237
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.288549184799	3	7	7.07106781187	2.82842712475
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.322463035583	5	13	12.7279220614	5.65685424949
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.355736017227	10	24	24.0416305603	9.89949493661
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.388739109039	20	40	42.4264068712	14.1421356237
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.422026157379	36	66	72.124891681	21.2132034356
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.45588517189	56	94	106.066017178	26.8700576851
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.489151000977	78	124	142.8355698	32.5269119346
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.522692203522	97	154	177.483802078	40.3050865276
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.555682182312	114	181	208.59650045	47.3761543395
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.589209079742	134	215	246.780266634	57.2756492761
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.62272310257	152	251	284.964032818	70.0035713375
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.65561914444	165	278	313.248304066	79.9030662741
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.689383029938	175	307	340.825468532	93.3380951166
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.722789049149	180	330	360.624458405	106.066017178
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.755539178848	182	347	374.059487248	116.672618896
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.789513111115	177	361	380.423448278	130.107647738
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.822933197021	169	371	381.837661841	142.8355698
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.856218099594	161	383	384.666088965	156.977705423
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.889480113983	153	394	386.787409309	170.412734266
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.922291994095	144	405	388.201622871	184.55486989
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.956302165985	136	418	391.737156777	199.404112295
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	0.98970913887	130	431	396.686904246	212.839141137
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	1.02298307419	123	446	402.343758495	228.395490323
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	1.05634522438	118	463	410.829039869	243.951839509
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	1.08940219879	113	482	420.728534806	260.922402258
38	1	1	2	0	-45	45	100	0	0	395.979797464	395.979797464	1.12243318558	107	499	428.506709399	277.185858225
