"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.49020791054	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.52355289459	1	0	0.707106781187	-0.707106781187
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.55692505836	1	0	0.707106781187	-0.707106781187
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.59027504921	1	0	0.707106781187	-0.707106781187
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.62362384796	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.65698695183	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.69034600258	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.7236969471	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.7570810318	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.79040193558	0	0	0	0
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.82375097275	0	1	0.707106781187	0.707106781187
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.85714507103	6	14	14.1421356237	5.65685424949
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.89052295685	20	46	46.6690475583	18.3847763109
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.92386984825	33	81	80.6101730553	33.941125497
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.95720696449	49	116	116.672618896	47.3761543395
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	1.99057388306	76	166	171.119841047	63.6396103068
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.02417397499	106	221	231.223917448	81.3172798365
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.05761098862	124	263	273.650324319	98.2878425849
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.0906560421	137	302	310.419876941	116.672618896
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.12402796745	149	338	344.361002438	133.643181644
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.15744304657	156	368	370.523953342	149.906637612
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.190721035	157	390	386.787409309	164.755880016
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.22409391403	154	414	401.636651714	183.847763109
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.25744795799	148	434	411.536146651	202.232539419
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.29089999199	144	447	417.900107681	214.2533547
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.32426691055	133	465	422.84985515	234.759451354
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.35752701759	120	480	424.264068712	254.558441227
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.39088392258	108	491	423.556961931	270.821897194
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.4242348671	94	504	422.84985515	289.913780286
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.45760202408	83	516	423.556961931	306.177236254
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.49104189873	72	526	422.84985515	321.026478659
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.52431297302	63	532	420.728534806	331.633080376
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.55777788162	54	539	419.314321244	342.946788875
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.59109592438	47	545	418.607214462	352.139177031
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.62438797951	41	551	418.607214462	360.624458405
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.65775990486	35	555	417.1930009	367.695526217
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.69117498398	29	559	415.778787338	374.766594029
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.72450995445	21	561	411.536146651	381.837661841
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.75783801079	15	561	407.293505963	386.080302528
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.79119205475	10	562	404.465078839	390.322943215
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.82456302643	7	562	402.343758495	392.444263559
44	1	1	1	0	-45	45	100	0	0	395.979797464	395.979797464	2.85792303085	6	563	402.343758495	393.858477121
44	1	1	2	0	-45	135	100	0	0	-395.979797464	395.979797464	0.00160193443298	3	-3	0	-4.24264068712
44	1	1	2	0	-45	135	100	0	0	-395.979797464	395.979797464	0.021341085434	3	-3	0	-4.24264068712
