"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.41	2	10	2	10
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.45	2	5	2	5
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.48	3	3	3	3
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.51	5	1	5	1
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.55	5	1	5	1
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.58	5	1	5	1
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.61	4	1	4	1
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.65	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.68	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.71	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.75	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.78	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.81	4	2	4	2
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.85	2	4	2	4
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.88	-1	9	-1	9
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.91	-5	16	-5	16
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.95	-8	23	-8	23
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089019.98	-10	31	-10	31
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.01	-14	41	-14	41
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.05	-18	52	-18	52
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.08	-23	64	-23	64
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.11	-27	80	-27	80
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.15	-30	94	-30	94
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.18	-35	112	-35	112
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.21	-39	129	-39	129
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.25	-43	146	-43	146
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.28	-46	163	-46	163
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.31	-48	178	-48	178
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.35	-51	194	-51	194
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.38	-54	210	-54	210
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.41	-58	234	-58	234
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.45	-60	257	-60	257
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.48	-61	279	-61	279
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.51	-62	302	-62	302
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.55	-62	322	-62	322
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.58	-62	346	-62	346
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.61	-60	369	-60	369
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.65	-58	389	-58	389
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.68	-56	408	-56	408
16	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550089020.71	-55	426	-55	426
