"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.39	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.43	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.46	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.49	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.53	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.56	-10	-7	-10	-7
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.59	-9	-6	-9	-6
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.63	-7	-4	-7	-4
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.66	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.69	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.73	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.76	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.79	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.83	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.86	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.89	-5	-2	-5	-2
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.93	-5	-1	-5	-1
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.96	-4	6	-4	6
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088128.99	-2	18	-2	18
3	"1"	"1"	1	FALSE	0	90	100	0	-196	3.42901103761e-14	560	1550088129.03	1	35	1	35
