"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.57	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.59	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.63	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.66	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.69	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.73	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.76	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.79	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.83	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.86	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.89	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.93	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.96	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300275.99	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.03	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.06	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.09	6	4	6	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.13	5	4	5	4
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.16	5	5	5	5
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.19	5	5	5	5
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.23	5	8	5	8
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.26	4	17	4	17
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.29	4	26	4	26
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.33	1	51	1	51
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.36	-2	83	-2	83
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.39	-2	116	-2	116
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.43	-3	145	-3	145
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.46	-3	168	-3	168
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.49	-3	190	-3	190
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.53	-4	212	-4	212
5	"1"	"1"	1	FALSE	0	90	100	0	0	3.42901103761e-14	560	1551300276.56	-7	236	-7	236
