"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.17104816437	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.20440220833	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.23767614365	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.27105998993	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.304500103	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.33785009384	8	0	8	0
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.37125301361	7	-1	7	-1
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.40445899963	4	-2	4	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.43792009354	3	-2	3	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.47129797935	3	-2	3	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.50460004807	3	-2	3	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.53795909882	3	-2	3	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.57127213478	4	-2	4	-2
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.60467410088	7	1	7	1
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.63815999031	15	11	15	11
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.67147016525	29	30	29	30
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.70483803749	46	56	46	56
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.73817610741	79	88	79	88
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.77155613899	111	118	111	118
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.80486011505	140	145	140	145
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.83829402924	177	178	177	178
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.87157607079	205	202	205	202
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.90495014191	245	234	245	234
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.93831515312	275	259	275	259
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	1.97166419029	306	288	306	288
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.00522518158	336	314	336	314
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.03837418556	361	333	361	333
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.07176017761	390	351	390	351
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.10516214371	413	365	413	365
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.13847708702	420	370	420	370
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.17189717293	427	374	427	374
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.20517706871	428	374	428	374
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.2384250164	428	374	428	374
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.271900177	428	374	428	374
11	"1"	"1"	1	FALSE	0	45	100	0	0	395.979797464	395.979797464	2.30531907082	427	374	427	374
