"task_num"	"task_name"	"trial_type"	"trial_num"	"terminalfeedback_bool"	"rotation_angle"	"targetangle_deg"	"targetdistance_percmax"	"homex_px"	"homey_px"	"targetx_px"	"targety_px"	"time_s"	"mousex_px"	"mousey_px"	"cursorx_px"	"cursory_px"
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.00192093849182	9	-6	2.12132034356	-10.6066017178
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.0370259284973	7	0	4.94974746831	-4.94974746831
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.0704340934753	6	5	7.77817459305	-0.707106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.10378408432	4	7	7.77817459305	2.12132034356
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.137122154236	0	8	5.65685424949	5.65685424949
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.170397043228	-3	7	2.82842712475	7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.203860998154	-6	2	-2.82842712475	5.65685424949
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.236842155457	-9	-4	-9.19238815543	3.53553390593
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.270607948303	-11	-6	-12.0208152802	3.53553390593
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.303931951523	-10	-5	-10.6066017178	3.53553390593
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.337163925171	-8	-2	-7.07106781187	4.24264068712
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.370711088181	-5	4	-0.707106781187	6.36396103068
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.404024124146	-3	9	4.24264068712	8.48528137424
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.437005996704	-2	12	7.07106781187	9.89949493661
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.470752954483	0	14	9.89949493661	9.89949493661
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.50408411026	1	15	11.313708499	9.89949493661
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.537086009979	5	15	14.1421356237	7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.570690155029	8	14	15.5563491861	4.24264068712
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.604058027267	10	13	16.2634559673	2.12132034356
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.637619018555	11	11	15.5563491861	0
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.670643091202	15	10	17.6776695297	-3.53553390593
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.704332113266	18	10	19.7989898732	-5.65685424949
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.73762011528	18	9	19.091883092	-6.36396103068
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.770668983459	19	10	20.5060966544	-6.36396103068
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.803962945938	20	10	21.2132034356	-7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.837033987045	19	10	20.5060966544	-6.36396103068
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.871057987213	19	11	21.2132034356	-5.65685424949
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.90443110466	20	11	21.9203102168	-6.36396103068
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.937826156616	21	11	22.627416998	-7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	0.971092939377	21	11	22.627416998	-7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.00440192223	21	11	22.627416998	-7.07106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.03715109825	22	16	26.8700576851	-4.24264068712
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.07124710083	22	18	28.2842712475	-2.82842712475
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.10461592674	22	19	28.9913780286	-2.12132034356
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.13783192635	22	21	30.405591591	-0.707106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.1710319519	22	22	31.1126983722	0
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.20469713211	22	21	30.405591591	-0.707106781187
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.2376999855	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.27141213417	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.30450797081	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.33805394173	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.3715031147	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.40478515625	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.43765997887	22	20	29.6984848098	-1.41421356237
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.47133994102	19	23	29.6984848098	2.82842712475
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.50483894348	10	27	26.1629509039	12.0208152802
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.53793001175	-8	33	17.6776695297	28.9913780286
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.57154393196	-35	43	5.65685424949	55.1543289326
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.60462212563	-72	56	-11.313708499	90.5096679919
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.63827109337	-109	71	-26.8700576851	127.279220614
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.67155599594	-158	95	-44.5477272148	178.89801564
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.70480394363	-210	121	-62.9325035256	234.052344573
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.73834300041	-258	146	-79.1959594929	285.671139599
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.77177000046	-325	184	-99.7020561473	359.917351624
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.80510497093	-376	213	-115.258405333	416.485894119
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.83849406242	-437	243	-137.17871555	480.832611207
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.8712220192	-495	272	-157.684812205	542.35090117
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.90525698662	-542	296	-173.948268172	592.555482634
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.93853902817	-591	324	-188.797510577	647.002704786
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	1.97198200226	-626	351	-194.454364826	690.843325219
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	2.00523495674	-668	374	-207.889393669	736.805265996
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	2.03863692284	-696	388	-217.788888605	766.503750806
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	2.07171702385	-724	401	-228.395490323	795.495128835
42	"1"	"1"	1	FALSE	-45	135	100	0	0	-395.979797464	395.979797464	2.1053609848	-746	410	-237.587878479	817.415439052
