trial,block,abrupt,gradual,stepwise,reintro
1,bl,0,0,0,0
2,bl,0,0,0,0
3,bl,0,0,0,0
4,bl,0,0,0,0
5,bl,0,0,0,0
6,bl,0,0,0,0
7,bl,0,0,0,0
8,bl,0,0,0,0
9,bl,0,0,0,0
10,bl,0,0,0,0
11,bl,0,0,0,0
12,bl,0,0,0,0
13,bl,0,0,0,0
14,bl,0,0,0,0
15,bl,0,0,0,0
16,bl,0,0,0,0
17,bl,0,0,0,0
18,bl,0,0,0,0
19,bl,0,0,0,0
20,bl,0,0,0,0
21,bl,0,0,0,0
22,bl,0,0,0,0
23,bl,0,0,0,0
24,bl,0,0,0,0
25,bl,0,0,0,0
26,bl,0,0,0,0
27,bl,0,0,0,0
28,bl,0,0,0,0
29,bl,0,0,0,0
30,bl,0,0,0,0
31,bl,0,0,0,0
32,bl,0,0,0,0
33,bl,0,0,0,0
34,bl,0,0,0,0
35,bl,0,0,0,0
36,bl,0,0,0,0
37,bl,0,0,0,0
38,bl,0,0,0,0
39,bl,0,0,0,0
40,bl,0,0,0,0
41,bl,0,0,0,0
42,bl,0,0,0,0
43,bl,0,0,0,0
44,bl,0,0,0,0
45,bl,0,0,0,0
46,bl,0,0,0,0
47,bl,0,0,0,0
48,bl,0,0,0,0
49,bl,0,0,0,0
50,bl,0,0,0,0
51,bl,0,0,0,0
52,bl,0,0,0,0
53,bl,0,0,0,0
54,bl,0,0,0,0
55,bl,0,0,0,0
56,bl,0,0,0,0
57,bl,0,0,0,0
58,bl,0,0,0,0
59,bl,0,0,0,0
60,bl,0,0,0,0
61,bl,0,0,0,0
62,bl,0,0,0,0
63,bl,0,0,0,0
64,bl,0,0,0,0
65,bl,0,0,0,0
66,bl,0,0,0,0
67,1,60,1,15,60
68,1,60,2,15,60
69,1,60,3,15,60
70,1,60,4,15,60
71,1,60,5,15,60
72,1,60,6,15,60
73,1,60,7,15,60
74,1,60,8,15,60
75,1,60,9,15,60
76,1,60,10,15,60
77,1,60,11,15,60
78,1,60,12,15,60
79,1,60,13,15,60
80,1,60,14,15,60
81,1,60,15,15,60
82,1,60,16,15,60
83,1,60,17,15,60
84,1,60,18,15,60
85,1,60,19,15,60
86,1,60,20,15,60
87,1,60,21,15,60
88,1,60,22,15,60
89,1,60,23,15,60
90,1,60,24,15,60
91,1,60,25,15,60
92,1,60,26,15,60
93,1,60,27,15,60
94,1,60,28,15,60
95,1,60,29,15,60
96,1,60,30,15,60
97,1,60,31,15,60
98,1,60,32,15,60
99,1,60,33,15,60
100,1,60,34,15,60
101,1,60,35,15,60
102,1,60,36,15,60
103,1,60,37,15,60
104,1,60,38,15,60
105,1,60,39,15,60
106,1,60,40,15,60
107,1,60,41,15,60
108,1,60,42,15,60
109,1,60,43,15,60
110,1,60,44,15,60
111,1,60,45,15,60
112,1,60,46,15,60
113,1,60,47,15,60
114,1,60,48,15,60
115,1,60,49,15,60
116,1,60,50,15,60
117,1,60,51,15,60
118,1,60,52,15,60
119,1,60,53,15,60
120,1,60,54,15,60
121,1,60,55,15,60
122,1,60,56,15,60
123,1,60,57,15,60
124,1,60,58,15,60
125,1,60,59,15,60
126,1,60,60,15,60
127,1,60,60,15,60
128,1,60,60,15,60
129,1,60,60,15,60
130,1,60,60,15,60
131,1,60,60,15,60
132,1,60,60,15,60
133,2,60,60,30,45
134,2,60,60,30,45
135,2,60,60,30,45
136,2,60,60,30,45
137,2,60,60,30,45
138,2,60,60,30,45
139,2,60,60,30,45
140,2,60,60,30,45
141,2,60,60,30,45
142,2,60,60,30,45
143,2,60,60,30,45
144,2,60,60,30,45
145,2,60,60,30,45
146,2,60,60,30,45
147,2,60,60,30,45
148,2,60,60,30,60
149,2,60,60,30,60
150,2,60,60,30,60
151,2,60,60,30,60
152,2,60,60,30,60
153,2,60,60,30,60
154,2,60,60,30,60
155,2,60,60,30,60
156,2,60,60,30,60
157,2,60,60,30,60
158,2,60,60,30,60
159,2,60,60,30,60
160,2,60,60,30,60
161,2,60,60,30,60
162,2,60,60,30,60
163,2,60,60,30,60
164,2,60,60,30,60
165,2,60,60,30,60
166,2,60,60,30,60
167,2,60,60,30,60
168,2,60,60,30,60
169,2,60,60,30,60
170,2,60,60,30,60
171,2,60,60,30,60
172,2,60,60,30,60
173,2,60,60,30,60
174,2,60,60,30,60
175,2,60,60,30,60
176,2,60,60,30,60
177,2,60,60,30,60
178,2,60,60,30,60
179,2,60,60,30,60
180,2,60,60,30,60
181,2,60,60,30,60
182,2,60,60,30,60
183,2,60,60,30,60
184,2,60,60,30,60
185,2,60,60,30,60
186,2,60,60,30,60
187,2,60,60,30,60
188,2,60,60,30,60
189,2,60,60,30,60
190,2,60,60,30,60
191,2,60,60,30,60
192,2,60,60,30,60
193,2,60,60,30,60
194,2,60,60,30,60
195,2,60,60,30,60
196,2,60,60,30,60
197,2,60,60,30,60
198,2,60,60,30,60
199,3,60,60,45,45
200,3,60,60,45,45
201,3,60,60,45,45
202,3,60,60,45,45
203,3,60,60,45,45
204,3,60,60,45,45
205,3,60,60,45,45
206,3,60,60,45,45
207,3,60,60,45,45
208,3,60,60,45,45
209,3,60,60,45,45
210,3,60,60,45,45
211,3,60,60,45,45
212,3,60,60,45,45
213,3,60,60,45,45
214,3,60,60,45,60
215,3,60,60,45,60
216,3,60,60,45,60
217,3,60,60,45,60
218,3,60,60,45,60
219,3,60,60,45,60
220,3,60,60,45,60
221,3,60,60,45,60
222,3,60,60,45,60
223,3,60,60,45,60
224,3,60,60,45,60
225,3,60,60,45,60
226,3,60,60,45,60
227,3,60,60,45,60
228,3,60,60,45,60
229,3,60,60,45,60
230,3,60,60,45,60
231,3,60,60,45,60
232,3,60,60,45,60
233,3,60,60,45,60
234,3,60,60,45,60
235,3,60,60,45,60
236,3,60,60,45,60
237,3,60,60,45,60
238,3,60,60,45,60
239,3,60,60,45,60
240,3,60,60,45,60
241,3,60,60,45,60
242,3,60,60,45,60
243,3,60,60,45,60
244,3,60,60,45,60
245,3,60,60,45,60
246,3,60,60,45,60
247,3,60,60,45,60
248,3,60,60,45,60
249,3,60,60,45,60
250,3,60,60,45,60
251,3,60,60,45,60
252,3,60,60,45,60
253,3,60,60,45,60
254,3,60,60,45,60
255,3,60,60,45,60
256,3,60,60,45,60
257,3,60,60,45,60
258,3,60,60,45,60
259,3,60,60,45,60
260,3,60,60,45,60
261,3,60,60,45,60
262,3,60,60,45,60
263,3,60,60,45,60
264,3,60,60,45,60
265,4,60,60,60,45
266,4,60,60,60,45
267,4,60,60,60,45
268,4,60,60,60,45
269,4,60,60,60,45
270,4,60,60,60,45
271,4,60,60,60,45
272,4,60,60,60,45
273,4,60,60,60,45
274,4,60,60,60,45
275,4,60,60,60,45
276,4,60,60,60,45
